SGB	used_nGD_score_percentile
t__SGB363	0.03
t__SGB698	0.03
t__SGB17168	0.03
t__SGB17152	0.03
t__SGB15878	0.03
t__SGB17167	0.03
t__SGB17169	0.03
t__SGB17195	0.03
t__SGB17137	0.03
t__SGB17247	0.03
t__SGB15494	0.03
t__SGB16971	0.03
t__SGB17153_group	0.03
t__SGB969	0.03
t__SGB14370_group	0.03
t__SGB14379	0.03
t__SGB14397	0.03
t__SGB14749	0.03
t__SGB14824_group	0.03
t__SGB14770	0.03
t__SGB14764	0.03
t__SGB14807	0.03
t__SGB14808	0.03
t__SGB14389_group	0.03
t__SGB1408	0.03
t__SGB1878	0.03
t__SGB1853	0.03
t__SGB1961	0.03
t__SGB1964	0.03
t__SGB2126	0.03
t__SGB1962	0.03
t__SGB1769	0.03
t__SGB1782	0.03
t__SGB1786	0.03
t__SGB1785	0.03
t__SGB1784	0.03
t__SGB1789	0.03
t__SGB1792	0.03
t__SGB1985	0.03
t__SGB1557	0.03
t__SGB1531	0.03
t__SGB1504	0.03
t__SGB1588	0.03
t__SGB1507	0.03
t__SGB2299	0.03
t__SGB2312	0.03
t__SGB1941	0.03
t__SGB2275	0.03
t__SGB8625	0.03
t__SGB8599	0.03
t__SGB8640	0.03
t__SGB19850_group	0.03
t__SGB7298	0.03
t__SGB6392	0.03
t__SGB6421	0.03
t__SGB6440	0.03
t__SGB6447	0.03
t__SGB6472	0.03
t__SGB6486	0.03
t__SGB6533	0.03
t__SGB6609	0.03
t__SGB6422	0.03
t__SGB6571	0.03
t__SGB6498	0.03
t__SGB6506	0.03
t__SGB6513	0.03
t__SGB6524	0.03
t__SGB6607	0.03
t__SGB8249	0.03
t__SGB7931	0.03
t__SGB7952	0.03
t__SGB7962	0.03
t__SGB7967	0.03
t__SGB7951	0.03
t__SGB7142	0.03
t__SGB7144	0.03
t__SGB7202	0.03
t__SGB7044	0.03
t__SGB7045	0.03
t__SGB7020	0.03
t__SGB7038_group	0.03
t__SGB7061	0.03
t__SGB7082	0.03
t__SGB7106	0.03
t__SGB7093	0.03
t__SGB7095	0.03
t__SGB7168	0.03
t__SGB7115	0.03
t__SGB7984	0.03
t__SGB7985	0.03
t__SGB8028_group	0.03
t__SGB8018	0.03
t__SGB8053	0.03
t__SGB8095	0.03
t__SGB8163	0.03
t__SGB8000	0.03
t__SGB8130	0.03
t__SGB8047	0.03
t__SGB8255_group	0.03
t__SGB8059_group	0.03
t__SGB3964	0.03
t__SGB4130	0.03
t__SGB4687	0.03
t__SGB4965	0.03
t__SGB6601	0.03
t__SGB6602	0.03
t__SGB14125	0.03
t__SGB14179	0.03
t__SGB14248	0.03
t__SGB14922	0.03
t__SGB14923	0.03
t__SGB14966	0.03
t__SGB14969	0.03
t__SGB14999	0.03
t__SGB79823	0.03
t__SGB71759	0.03
t__SGB14027	0.03
t__SGB14941	0.03
t__SGB63327	0.03
t__SGB14975	0.03
t__SGB14953	0.03
t__SGB14995	0.03
t__SGB13977	0.03
t__SGB13981	0.03
t__SGB13983	0.03
t__SGB13997	0.03
t__SGB14007	0.03
t__SGB14020	0.03
t__SGB14042	0.03
t__SGB14048	0.03
t__SGB14136	0.03
t__SGB14137	0.03
t__SGB14150	0.03
t__SGB14151	0.03
t__SGB14182	0.03
t__SGB14198	0.03
t__SGB14205	0.03
t__SGB14209	0.03
t__SGB14215	0.03
t__SGB14223	0.03
t__SGB14247	0.03
t__SGB14250	0.03
t__SGB14252	0.03
t__SGB14253	0.03
t__SGB14263	0.03
t__SGB14301	0.03
t__SGB14307	0.03
t__SGB14845	0.03
