taxonomy_old	taxonomy_new	taxonomy_id_new
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB1331|s__GGB1331_SGB1788|t__SGB1788	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__GGB1331|s__GGB1331_SGB1788|t__SGB1788	2|976|200643|171549|1853231|||
k__Bacteria|p__Firmicutes|c__CFGB76704|o__OFGB76704|f__FGB76704|g__GGB54153|s__GGB54153_SGB41631|t__SGB41631	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28930|s__GGB28930_SGB41631|t__SGB41631	2|1239|186801|186802|31979|||
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__GGB42949|s__GGB42949_SGB43520|t__SGB43520	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30456|s__GGB30456_SGB43520|t__SGB43520	2|1239|186801|186802|216572|||
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820|f__FGB28820|g__GGB28817|s__GGB28817_SGB41472|t__SGB41472	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28817|s__GGB28817_SGB41472|t__SGB41472	2|1239|186801|186802|186803|||
k__Bacteria|p__Firmicutes|c__CFGB8240|o__OFGB8240|f__FGB8240|g__GGB25267|s__GGB25267_SGB37203|t__SGB37203	k__Bacteria|p__Firmicutes|c__CFGB8200|o__OFGB8200|f__FGB8200|g__GGB25267|s__GGB25267_SGB37203|t__SGB37203	2|1239||||||
k__Bacteria|p__Firmicutes|c__CFGB76779|o__OFGB76779|f__FGB76779|g__GGB33544|s__GGB33544_SGB53490|t__SGB53490	k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB33544|s__GGB33544_SGB53490|t__SGB53490	2|1239||||||
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB9747|s__GGB9747_SGB15354|t__SGB15354	k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062|f__FGB3062|g__GGB9747|s__GGB9747_SGB15354|t__SGB15354	2|1239||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB9686|s__GGB9686_SGB15190|t__SGB15190	k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054|g__GGB9686|s__GGB9686_SGB15190|t__SGB15190	2|1239||||||
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355|f__FGB76355|g__GGB28418|s__GGB28418_SGB41001|t__SGB41001	k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28418|s__GGB28418_SGB41001|t__SGB41001	2|1239||||||
k__Bacteria|p__Proteobacteria|c__CFGB76526|o__OFGB76526|f__FGB76526|g__GGB45096|s__GGB45096_SGB62607|t__SGB62607	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__GGB45096|s__GGB45096_SGB62607|t__SGB62607	2|1224|28221|29|49|||
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB485|t__SGB485	k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB9295|o__OFGB9295|f__FGB9295|g__GGB346|s__GGB346_SGB485|t__SGB485	2157|2283796||||||
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB3583|s__GGB3583_SGB21441|t__SGB21441	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB14014|s__GGB14014_SGB21441|t__SGB21441	2|976|200643|171549|2005473|||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB28849|s__GGB28849_SGB41516|t__SGB41516	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28849|s__GGB28849_SGB41516|t__SGB41516	2|1239|186801|186802|31979|||
k__Bacteria|p__Actinobacteria|c__CFGB9302|o__OFGB9302|f__FGB9302|g__GGB37079|s__GGB37079_SGB45832|t__SGB45832	k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB9302|o__OFGB9302|f__FGB9302|g__GGB37079|s__GGB37079_SGB45832|t__SGB45832	2157|2283796||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_SGB4339|t__SGB4339	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3285|s__GGB3285_SGB4339|t__SGB4339	2|1239|186801|186802|216572|||
k__Bacteria|p__Candidatus_Marinimicrobia|c__CFGB11461|o__OFGB11461|f__FGB11461|g__GGB67905|s__GGB67905_SGB48922|t__SGB48922	k__Bacteria|p__Candidatus_Marinimicrobia|c__CFGB11461|o__OFGB11461|f__FGB11461|g__GGB74250|s__GGB74250_SGB48922|t__SGB48922	2|62680||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28677|s__GGB28677_SGB41305|t__SGB41305	k__Bacteria|p__Firmicutes|c__CFGB74562|o__OFGB74562|f__FGB74562|g__GGB28677|s__GGB28677_SGB41305|t__SGB41305	2|1239||||||
k__Bacteria|p__Candidatus_Parcubacteria|c__CFGB42879|o__OFGB42879|f__FGB42879|g__GGB76708|s__GGB76708_SGB103930|t__SGB103930	k__Bacteria|p__Candidatus_Parcubacteria|c__CFGB74122|o__OFGB74122|f__FGB74122|g__GGB77032|s__GGB77032_SGB103930|t__SGB103930	2|221216||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB6487|t__SGB6487	k__Bacteria|p__Firmicutes|c__CFGB73902|o__OFGB73902|f__FGB73902|g__GGB4689|s__GGB4689_SGB6487|t__SGB6487	2|1239||||||
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__GGB13808|s__GGB13808_SGB21188|t__SGB21188	k__Bacteria|p__Firmicutes|c__CFGB4761|o__OFGB4761|f__FGB4761|g__GGB13808|s__GGB13808_SGB21188|t__SGB21188	2|1239||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB3344|s__GGB3344_SGB4424|t__SGB4424	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3344|s__GGB3344_SGB4424|t__SGB4424	2|1239|186801|186802|216572|||
k__Bacteria|p__Firmicutes|c__CFGB76784|o__OFGB76784|f__FGB76784|g__GGB9690|s__GGB9690_SGB15195|t__SGB15195	k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054|g__GGB9690|s__GGB9690_SGB15195|t__SGB15195	2|1239||||||
k__Bacteria|p__Firmicutes|c__CFGB76072|o__OFGB76072|f__FGB76072|g__GGB28944|s__GGB28944_SGB41648|t__SGB41648	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28944|s__GGB28944_SGB41648|t__SGB41648	2|1239|186801|186802|31979|||
k__Bacteria|p__Proteobacteria|c__CFGB3433|o__OFGB3433|f__FGB3433|g__GGB80138|s__GGB80138_SGB91191|t__SGB91191	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__GGB34864|s__GGB34864_SGB91191|t__SGB91191	2|1224|28211|204455|31989|||
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB25443|s__GGB25443_SGB37398|t__SGB37398	k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB25443|s__GGB25443_SGB37398|t__SGB37398	2|201174||||||
