SGB	used_nGD_score_percentile
SGB15369	0.000552792
SGB5065	0.001298701
SGB15216	0.001708817
SGB5075	0.002011494
SGB1626	0.00226576
SGB4938_group	0.002639342
SGB4367	0.003134796
SGB4925	0.003558628
SGB4951	0.00410027
SGB14114	0.004101162
SGB5077	0.004192872
SGB4540	0.004343276
SGB4933	0.004410658
SGB5082	0.005245558
SGB4303	0.005311355
SGB4914	0.006474767
SGB4811	0.006593407
SGB5090	0.006881451
SGB14631_group	0.00746484
SGB5111	0.008006672
SGB15356	0.008805031
SGB4874	0.009523619
SGB5121	0.00952381
SGB4844	0.009562585
SGB9286	0.009920635
SGB4191	0.010416667
SGB4290	0.01122807
SGB9226	0.011264535
SGB4348	0.011708861
SGB5190	0.012303486
SGB15180	0.01254902
SGB5117	0.012635909
SGB15260	0.012910798
SGB4285	0.013098905
SGB15318	0.015165616
SGB15332	0.015370986
SGB17248	0.015683346
SGB15346	0.015686275
SGB1846	0.015728978
SGB4557	0.015888616
SGB15340	0.016237003
SGB15316	0.016501822
SGB15286	0.016875786
SGB5825	0.017105263
SGB1798	0.018596491
SGB1836_group	0.018794404
SGB15265_group	0.019010344
SGB15300	0.019277108
SGB15452	0.019572418
SGB15234_group	0.019636015
SGB5089	0.020376176
SGB15295	0.020568663
SGB15244	0.020733062
SGB1644	0.02122449
SGB4422	0.02122449
SGB5087	0.021245421
SGB4652	0.021355077
SGB15374	0.021428571
SGB4886	0.021548822
SGB1855	0.02173913
SGB4826	0.021972534
SGB4532	0.022144522
SGB14311	0.023694928
SGB4940	0.024437467
SGB1814	0.024700911
SGB4564	0.025074589
SGB1872_group	0.026400886
SGB4582	0.026463512
SGB4716	0.027417027
SGB15031_group	0.027508376
SGB15106	0.028985507
SGB4198	0.029315673
SGB10115_group	0.03
SGB10130	0.03
SGB10131	0.03
SGB10139_group	0.03
SGB1024	0.03
SGB12676	0.03
SGB1303	0.03
SGB13972	0.03
SGB13976	0.03
SGB13977	0.03
SGB13979	0.03
SGB13981	0.03
SGB13982	0.03
SGB13983	0.03
SGB13997	0.03
SGB13999	0.03
SGB14005	0.03
SGB14007	0.03
SGB14017	0.03
SGB14027	0.03
SGB1404	0.03
SGB14042	0.03
SGB14110	0.03
SGB14136	0.03
SGB14177	0.03
SGB14193	0.03
SGB14205	0.03
SGB14209	0.03
SGB14215	0.03
SGB14237	0.03
SGB14243	0.03
SGB14247	0.03
SGB14248	0.03
SGB14250	0.03
SGB14252	0.03
SGB14253	0.03
SGB14256	0.03
SGB14263	0.03
SGB14294	0.03
SGB14313	0.03
SGB14317	0.03
SGB14321	0.03
SGB14322	0.03
SGB14334	0.03
SGB14336	0.03
SGB14341_group	0.03
SGB1437	0.03
SGB14370	0.03
SGB14373	0.03
SGB14379	0.03
SGB14380	0.03
SGB14397	0.03
SGB14398	0.03
SGB1471	0.03
SGB1472	0.03
SGB1473	0.03
SGB1474	0.03
SGB1475	0.03
SGB1477	0.03
SGB14770	0.03
SGB14773	0.03
SGB14786	0.03
SGB14809	0.03
SGB14816	0.03
SGB14822	0.03
SGB14824_group	0.03
SGB14834	0.03
SGB14844	0.03
SGB14853	0.03
SGB14894	0.03
SGB14899	0.03
SGB14905	0.03
SGB14906	0.03
SGB14908	0.03
SGB14912	0.03
SGB14921	0.03
SGB14923	0.03
SGB14924	0.03
SGB14932	0.03
SGB14937	0.03
SGB14953	0.03
SGB14954	0.03
SGB14974	0.03
SGB14980	0.03
SGB14990	0.03
SGB14991	0.03
SGB14999	0.03
SGB15012	0.03
SGB15015	0.03
SGB15019	0.03
SGB15022	0.03
SGB15035	0.03
SGB15040	0.03
SGB15041	0.03
SGB15042	0.03
SGB15049	0.03
SGB15051	0.03
SGB15052	0.03
SGB15065	0.03
SGB15073	0.03
SGB15081	0.03
SGB15084	0.03
SGB15085	0.03
SGB15087	0.03
SGB15093	0.03
SGB15095	0.03
SGB15097	0.03
SGB15100	0.03
SGB15101	0.03
SGB15103	0.03
SGB15107	0.03
SGB15108	0.03
SGB15119	0.03
SGB15120	0.03
SGB15121	0.03
SGB15124	0.03
SGB15126	0.03
SGB15127	0.03
SGB15131	0.03
SGB15143	0.03
SGB15145	0.03
SGB15196	0.03
SGB15198	0.03
SGB15203	0.03
SGB15213	0.03
SGB15225	0.03
SGB15229	0.03
SGB15238	0.03
SGB15271	0.03
SGB15272	0.03
SGB15273	0.03
SGB15285	0.03
SGB15287	0.03
SGB15292	0.03
SGB15299	0.03
SGB15310	0.03
SGB15323	0.03
SGB15350	0.03
SGB15355	0.03
SGB15370	0.03
SGB15373	0.03
SGB15377	0.03
SGB15382	0.03
SGB15385	0.03
SGB15390	0.03
SGB15394	0.03
SGB15395	0.03
SGB15403	0.03
SGB15413	0.03
SGB15447	0.03
SGB15451	0.03
SGB15460	0.03
SGB15467	0.03
SGB15497	0.03
SGB15878	0.03
SGB1612	0.03
SGB1613	0.03
SGB1614	0.03
SGB1617_group	0.03
SGB1623	0.03
SGB1636_group	0.03
SGB1653	0.03
SGB1657	0.03
SGB1662	0.03
SGB1663	0.03
SGB1664	0.03
SGB1666	0.03
SGB1667	0.03
SGB1668	0.03
SGB1670	0.03
SGB1672_group	0.03
SGB1673	0.03
SGB1675	0.03
SGB1676	0.03
SGB1677	0.03
SGB1679	0.03
SGB1680	0.03
SGB16975_group	0.03
SGB16985	0.03
SGB17008	0.03
SGB17009	0.03
SGB1701	0.03
SGB1705	0.03
SGB17130	0.03
SGB17152	0.03
SGB17153	0.03
SGB17156	0.03
SGB17161_group	0.03
SGB17167	0.03
SGB17168	0.03
SGB17169	0.03
SGB17195	0.03
SGB17231	0.03
SGB17234	0.03
SGB17237	0.03
SGB17241	0.03
SGB17243	0.03
